province,year,track,schoolName,minScore
北京,2024,综合类,北京经济管理职业学院,120
北京,2025,综合类,北京经济管理职业学院,120
北京,2023,综合类,北京经贸职业学院,355
北京,2024,综合类,北京经贸职业学院,120
北京,2025,综合类,北京经贸职业学院,120
北京,2023,综合类,北京网络职业学院,139
北京,2024,综合类,北京网络职业学院,120
北京,2025,综合类,北京网络职业学院,120
北京,2023,综合类,北京联合大学,345
北京,2024,综合类,北京联合大学,383
北京,2025,综合类,北京联合大学,433
北京,2024,综合类,北京舞蹈学院,529
北京,2025,综合类,北京舞蹈学院,538
北京,2023,综合类,北京航空航天大学,527
北京,2024,综合类,北京航空航天大学,531
北京,2025,综合类,北京航空航天大学,564
北京,2024,综合类,北京艺术传媒职业学院,120
北京,2025,综合类,北京艺术传媒职业学院,120
北京,2023,综合类,北京警察学院,281
北京,2024,综合类,北京警察学院,522
北京,2025,综合类,北京警察学院,300
北京,2023,综合类,北京语言大学,393
北京,2024,综合类,北京语言大学,512
北京,2025,综合类,北京语言大学,406
北京,2023,综合类,北京财贸职业学院,201
北京,2024,综合类,北京财贸职业学院,120
北京,2025,综合类,北京财贸职业学院,124
北京,2023,综合类,北京邮电大学,506
北京,2024,综合类,北京邮电大学,509
北京,2025,综合类,北京邮电大学,528
北京,2023,综合类,北京邮电大学世纪学院,333
北京,2024,综合类,北京邮电大学世纪学院,404
北京,2025,综合类,北京邮电大学世纪学院,430
北京,2023,综合类,北京金融科技学院,292
北京,2024,综合类,北京金融科技学院,388
北京,2025,综合类,北京金融科技学院,430
北京,2024,综合类,北京青年政治学院,162
北京,2025,综合类,北京青年政治学院,145
北京,2023,综合类,北方工业大学,340
北京,2024,综合类,北方工业大学,383
北京,2025,综合类,北方工业大学,486
北京,2023,综合类,华北电力大学（北京）,458
北京,2024,综合类,华北电力大学（北京）,416
北京,2025,综合类,华北电力大学（北京）,545
北京,2023,综合类,国际关系学院,597
北京,2024,综合类,国际关系学院,586
北京,2025,综合类,国际关系学院,568
北京,2023,综合类,外交学院,598
北京,2024,综合类,外交学院,614
北京,2025,综合类,外交学院,543
北京,2023,综合类,对外经济贸易大学,481
北京,2024,综合类,对外经济贸易大学,508
北京,2025,综合类,对外经济贸易大学,542
北京,2023,综合类,民政职业大学,262
北京,2024,综合类,民政职业大学,120
北京,2025,综合类,民政职业大学,200
北京,2023,综合类,清华大学,603
北京,2024,综合类,清华大学,605
北京,2025,综合类,清华大学,634
北京,2023,综合类,陆军防化学院,529
北京,2024,综合类,陆军防化学院,530
北京,2025,综合类,陆军防化学院,546
北京,2023,综合类,首都体育学院,410
北京,2024,综合类,首都体育学院,473
北京,2025,综合类,首都体育学院,389
